trait_name,group,frequency
Achiever,Executing,0.32
Activator,Influencing,0.09
Adaptability,Relationship Building,0.18
Analytical,Strategic Thinking,0.13
Arranger,Executing,0.12
Belief,Executing,0.13
Command,Influencing,0.05
Communication,Influencing,0.13
Competition,Influencing,0.11
Connectedness,Relationship Building,0.13
Consistency,Executing,0.13
Context,Strategic Thinking,0.09
Deliberative,Executing,0.11
Developer,Relationship Building,0.18
Discipline,Executing,0.08
Empathy,Relationship Building,0.19
Focus,Executing,0.07
Futuristic,Strategic Thinking,0.14
Harmony,Relationship Building,0.19
Ideation,Strategic Thinking,0.12
Includer,Relationship Building,0.12
Individualization,Relationship Building,0.15
Input,Strategic Thinking,0.20
Intellection,Strategic Thinking,0.13
Learner,Strategic Thinking,0.27
Maximizer,Influencing,0.10
Positivity,Relationship Building,0.18
Relator,Relationship Building,0.26
Responsibility,Executing,0.28
Restorative,Executing,0.20
Self-Assurance,Influencing,0.04
Significance,Influencing,0.06
Strategic,Strategic Thinking,0.22
Woo,Influencing,0.11
